Storm_ID,Event,Month,Day,Year,Start_Time,End_Time,Cell_Durat,Total_Dura,ID_Number,Tornadic,Intensity
Supercell 1,2,3,6,1994,30605,43334,1.46,2.04,1,1,0
Supercell 3,4,4,2,1994,221945,24331,4.4,5.27,3,1,2
Supercell 4,4,4,3,1994,2942,30658,2.62,3.5,4,1,0
Supercell 7,6,4,10,1994,193249,204833,1.26,1.84,7,1,0
Supercell 9,6,4,10,1994,200746,231410,3.11,4.27,9,1,1
Supercell 10,7,4,25,1994,221809,5008,2.53,4,10,1,0
Supercell 11,7,4,25,1994,235742,10149,1.07,3.51,11,1,1
Supercell 12,7,4,25,1994,235742,10149,1.07,2.53,12,1,1
Supercell 15,10,5,6,1994,224510,14026,2.92,4.17,15,1,0
Supercell 16,10,5,6,1994,233748,60335,6.43,8.65,16,1,1
Supercell 18,10,5,7,1994,33611,64216,3.1,3.98,18,1,0
Supercell 21,17,6,7,1994,13435,35424,2.33,2.91,21,1,1
Supercell 26,23,7,8,1994,10122,30948,2.14,3.02,26,1,0
Supercell 27,23,7,8,1994,11303,30948,1.95,2.83,27,1,0
Supercell 30,27,8,17,1994,183417,204813,2.23,2.23,30,1,1
Supercell 33,27,8,17,1994,235944,20155,2.04,2.91,33,1,1
Supercell 40,32,10,17,1994,213143,221820,0.78,1.36,40,1,1
Supercell 55,39,4,16,1995,205413,222140,1.46,2.33,55,1,0
Supercell 56,39,4,16,1995,213502,1227,2.62,3.5,56,1,1
Supercell 59,40,4,17,1995,214129,44359,7.04,7.04,59,1,2
Supercell 60,41,4,19,1995,235200,21158,2.33,4.08,60,1,0
Supercell 78,47,5,7,1995,201648,213825,1.36,2.24,78,1,0
Supercell 79,47,5,7,1995,202828,212645,0.97,1.56,79,1,1
Supercell 80,47,5,7,1995,205146,223642,1.75,2.62,80,1,2
Supercell 81,47,5,7,1995,211505,224822,1.55,1.55,81,1,3
Supercell 88,49,5,17,1995,220120,233436,1.55,2.14,88,1,2
Supercell 90,49,5,17,1995,192349,205151,1.47,1.47,90,1,0
Supercell 93,50,5,23,1995,15941,35519,1.93,1.93,93,1,0
Supercell 95,52,5,24,1995,213115,233034,1.99,2.28,95,1,0
Supercell 98,54,5,30,1995,225729,10312,2.1,2.98,98,1,0
Supercell 103,57,6,4,1995,5300,42255,3.5,3.5,103,1,1
Supercell 104,57,6,4,1995,34755,51001,1.37,1.37,104,1,1
Supercell 105,59,6,5,1995,234403,11132,1.46,2.04,105,1,0
Supercell 106,60,6,8,1995,11545,51639,4.02,4.6,106,1,1
Supercell 107,61,6,8,1995,194527,221155,2.44,3.03,107,1,1
Supercell 110,61,6,9,1995,13129,43251,3.02,3.02,110,1,2
Supercell 113,62,6,9,1995,175601,214339,3.79,3.79,113,1,0
Supercell 114,62,6,9,1995,220110,15128,3.84,4.42,114,1,2
Supercell 115,62,6,9,1995,232839,31645,3.8,4.09,115,1,0
