Step_ID,Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,uh_max_mean,uh_max_max,uh_max_min,uh_max_std,uh_max_mean_dt,uh_max_max_dt,r10cmx_mean,r10cmx_max,r10cmx_min,r10cmx_std,r10cmx_mean_dt,r10cmx_max_dt,wupmax_mean,wupmax_max,wupmax_min,wupmax_std,wupmax_mean_dt,wupmax_max_dt,cqgmax_mean,cqgmax_max,cqgmax_min,cqgmax_std,cqgmax_mean_dt,cqgmax_max_dt,wdnmax_mean,wdnmax_max,wdnmax_min,wdnmax_std,wdnmax_mean_dt,wdnmax_max_dt,mlcape_mean,mlcape_max,mlcape_min,mlcape_std,mlcape_mean_dt,mlcape_max_dt,mlcins_mean,mlcins_max,mlcins_min,mlcins_std,mlcins_mean_dt,mlcins_max_dt,sblcl_mean,sblcl_max,sblcl_min,sblcl_std,sblcl_mean_dt,sblcl_max_dt,srh03_mean,srh03_max,srh03_min,srh03_std,srh03_mean_dt,srh03_max_dt,shr06_mean,shr06_max,shr06_min,shr06_std,shr06_mean_dt,shr06_max_dt,tmp700_mean,tmp700_max,tmp700_min,tmp700_std,tmp700_mean_dt,tmp700_max_dt,tmp500_mean,tmp500_max,tmp500_min,tmp500_std,tmp500_mean_dt,tmp500_max_dt,dewp2m_mean,dewp2m_max,dewp2m_min,dewp2m_std,dewp2m_mean_dt,dewp2m_max_dt,temp2m_mean,temp2m_max,temp2m_min,temp2m_std,temp2m_mean_dt,temp2m_max_dt,sph850_mean,sph850_max,sph850_min,sph850_std,sph850_mean_dt,sph850_max_dt,sph500_mean,sph500_max,sph500_min,sph500_std,sph500_mean_dt,sph500_max_dt,lllr_mean,lllr_max,lllr_min,lllr_std,lllr_mean_dt,lllr_max_dt,lr75_mean,lr75_max,lr75_min,lr75_std,lr75_mean_dt,lr75_max_dt,area,eccentricity,major_axis_length,minor_axis_length,orientation,extent,weighted_moments_hu_0,weighted_moments_hu_1,weighted_moments_hu_2,weighted_moments_hu_3,weighted_moments_hu_4,weighted_moments_hu_5,weighted_moments_hu_6,Hail_Size,Shape,Location,Scale
wrf-s4m9_arw_cqgmax_20140604-0000_12_12_000_00,wrf-s4m9_arw_cqgmax_20140604-0000_12_12_000,2014-06-04 12:00:00,12.00000,12.00000,1.00000,-92.98702,38.76154,21.42672,79.04564,0.00000,24.62338,0.00000,0.00000,48.22839,59.69537,44.27731,3.66165,0.00000,0.00000,8.76404,20.62803,1.92618,4.59490,0.00000,0.00000,24.05805,30.02235,18.49507,2.42119,0.00000,0.00000,-2.88949,-1.41024,-5.35472,0.83058,0.00000,0.00000,449.17227,1174.56934,0.00000,483.49761,0.00000,0.00000,-520.48977,-10.66202,-1308.26038,482.34515,0.00000,0.00000,549.39385,734.21545,360.00925,104.29117,0.00000,0.00000,198.57384,663.57666,-438.99063,381.75553,0.00000,0.00000,0.00463,0.00753,0.00252,0.00093,0.00000,0.00000,8.20807,10.86756,5.62017,1.31197,0.00000,0.00000,-6.50154,-3.53588,-9.43982,1.87310,0.00000,0.00000,66.22571,71.16159,60.11110,4.46520,0.00000,0.00000,69.03412,75.22401,61.57058,5.24655,0.00000,0.00000,11.51840,14.36746,8.90158,1.54594,0.00000,0.00000,3.96721,5.36163,2.37022,0.94521,0.00000,0.00000,-4.39724,-2.99046,-5.64902,0.78902,0.00000,0.00000,-5.44155,-3.56348,-7.09034,1.07198,0.00000,0.00000,161.00000,0.95153,30.43445,9.36076,0.17584,0.47633,-4.10429,-8.58150,-15.84174,-15.67573,-31.44666,-19.99550,0.00000,0.00000,0.00000,0.00000,0.00000
wrf-s4m9_arw_cqgmax_20140604-0000_12_12_001_00,wrf-s4m9_arw_cqgmax_20140604-0000_12_12_001,2014-06-04 12:00:00,12.00000,12.00000,1.00000,-91.80033,39.50542,24.01877,165.73465,0.00000,29.50834,0.00000,0.00000,51.80631,56.91146,45.41685,2.80060,0.00000,0.00000,10.31808,24.43690,1.06745,6.10662,0.00000,0.00000,22.48345,29.03997,17.63926,2.37306,0.00000,0.00000,-3.74218,-2.04900,-6.92354,0.94868,0.00000,0.00000,675.12062,1301.86377,0.00000,536.97939,0.00000,0.00000,-208.17843,-3.21295,-868.61267,267.48103,0.00000,0.00000,552.85980,1525.77014,319.87848,262.97147,0.00000,0.00000,198.56318,578.72308,12.87232,107.12856,0.00000,0.00000,0.00472,0.00660,0.00069,0.00144,0.00000,0.00000,6.61951,9.52971,4.71845,1.47716,0.00000,0.00000,-7.88276,-4.78687,-9.29257,0.84509,0.00000,0.00000,69.41435,72.54340,61.62557,2.71950,0.00000,0.00000,72.06256,76.09428,68.37634,1.60247,0.00000,0.00000,11.38066,14.09639,6.32074,2.18696,0.00000,0.00000,3.89304,5.09277,3.24694,0.32363,0.00000,0.00000,-5.45799,-3.99831,-6.57449,0.73587,0.00000,0.00000,-5.40618,-4.64782,-6.49493,0.46778,0.00000,0.00000,103.00000,0.94583,20.38988,6.61968,0.12089,0.73571,-4.40070,-9.20265,-17.73438,-18.47496,-36.58816,-23.10842,-38.61923,0.00000,0.00000,0.00000,0.00000
wrf-s4m9_arw_cqgmax_20140604-0000_12_12_002_00,wrf-s4m9_arw_cqgmax_20140604-0000_12_12_002,2014-06-04 12:00:00,12.00000,12.00000,1.00000,-90.67926,40.00893,9.40717,36.04199,0.70538,6.55951,0.00000,0.00000,48.32742,57.01543,43.79753,3.48090,0.00000,0.00000,9.61551,19.98355,3.99029,3.30611,0.00000,0.00000,15.78736,20.31992,12.02331,2.13806,0.00000,0.00000,-3.41725,-1.76924,-6.04785,0.88045,0.00000,0.00000,79.65023,412.24789,0.00000,117.65802,0.00000,0.00000,-236.06901,-49.80956,-546.74396,131.82661,0.00000,0.00000,234.29416,287.89047,163.68307,30.75799,0.00000,0.00000,211.81877,407.10352,-184.41681,148.24030,0.00000,0.00000,0.00524,0.00716,0.00263,0.00111,0.00000,0.00000,6.29804,9.31281,4.34734,1.11810,0.00000,0.00000,-7.74012,-5.69153,-9.45886,0.92290,0.00000,0.00000,64.05144,65.63569,63.25693,0.36725,0.00000,0.00000,64.96814,66.08470,63.98642,0.42287,0.00000,0.00000,12.71896,14.26530,10.03913,0.86487,0.00000,0.00000,3.92443,4.60923,3.41711,0.27563,0.00000,0.00000,-4.19831,-3.16378,-4.94964,0.40657,0.00000,0.00000,-5.22873,-4.23166,-6.83651,0.49681,0.00000,0.00000,112.00000,0.79577,15.88713,9.62113,-0.21043,0.70000,-4.43248,-10.45175,-16.17604,-18.64695,-37.88421,0.00000,-36.07159,0.00000,0.00000,0.00000,0.00000
wrf-s4m9_arw_cqgmax_20140604-0000_12_13_003_00,wrf-s4m9_arw_cqgmax_20140604-0000_12_13_003,2014-06-04 12:00:00,12.00000,12.00000,1.00000,-87.82936,40.58268,22.05722,70.58913,0.00000,17.63732,0.00000,0.00000,49.25632,64.85798,41.22366,5.00389,0.00000,0.00000,9.76791,22.69374,1.37947,4.99712,0.00000,0.00000,16.02407,20.46460,12.13992,2.13565,0.00000,0.00000,-3.39324,-1.64822,-5.54417,0.92246,0.00000,0.00000,415.24721,1048.23706,0.00000,304.65069,0.00000,0.00000,-107.89002,-8.77073,-689.41156,145.00568,0.00000,0.00000,400.74160,885.78143,244.51968,152.90406,0.00000,0.00000,233.16671,603.49756,117.60191,65.04231,0.00000,0.00000,0.00517,0.00610,0.00319,0.00060,0.00000,0.00000,4.59925,8.66248,2.36971,1.26694,0.00000,0.00000,-8.78035,-6.29681,-10.37460,0.77701,0.00000,0.00000,60.96807,66.82281,55.62368,3.12447,0.00000,0.00000,63.04750,67.18207,60.22492,1.84668,0.00000,0.00000,11.54655,13.63880,8.74875,1.34102,0.00000,0.00000,3.58172,4.51711,3.14679,0.22172,0.00000,0.00000,-4.43565,-2.56552,-5.39563,0.54836,0.00000,0.00000,-5.01137,-3.74289,-6.54989,0.57206,0.00000,0.00000,117.00000,0.82928,18.24343,10.19511,-1.24918,0.50000,-4.23684,-9.70684,-14.03434,-16.28376,-31.72164,-21.18005,-31.86777,0.00000,0.00000,0.00000,0.00000
wrf-s4m9_arw_cqgmax_20140604-0000_12_13_003_01,wrf-s4m9_arw_cqgmax_20140604-0000_12_13_003,2014-06-04 13:00:00,13.00000,13.00000,2.00000,-87.40109,40.53651,18.02454,39.42348,1.52671,8.77194,-4.03268,-31.16565,49.84319,59.68916,41.67162,3.61235,0.58688,-5.16882,10.83727,17.22856,2.51649,3.06660,1.06936,-5.46518,15.33426,19.36352,12.06062,2.06868,-0.68981,-1.10107,-3.58128,-1.50386,-6.44107,0.91599,-0.18804,0.14436,240.41722,1045.08789,0.00000,200.66892,-174.82999,-3.14917,-130.77089,-20.34286,-666.12811,165.96990,-22.88087,-11.57213,285.48491,365.38129,240.60555,30.05833,-115.25669,-520.40015,351.66012,800.43262,166.24081,162.59969,118.49341,196.93506,0.00443,0.00716,0.00245,0.00085,-0.00074,0.00106,4.76094,8.95462,2.42409,1.71432,0.16169,0.29214,-8.47365,-6.52033,-10.29873,0.83908,0.30671,-0.22352,60.84798,65.83531,56.88326,2.21339,-0.12009,-0.98750,61.89147,66.16089,60.01278,1.55312,-1.15603,-1.02118,12.10849,14.03531,8.39195,1.07820,0.56194,0.39650,3.70431,4.29355,3.17324,0.25062,0.12259,-0.22356,-4.23786,-2.86883,-5.12836,0.52827,0.19779,-0.30330,-4.95297,-4.00391,-6.44804,0.57577,0.05840,-0.26102,82.00000,0.94472,18.80109,6.16462,-0.63279,0.40196,-3.96163,-8.34439,-15.55041,-17.12265,-34.58130,0.00000,-33.51520,0.00000,0.00000,0.00000,0.00000
wrf-s4m9_arw_cqgmax_20140604-0000_13_13_004_00,wrf-s4m9_arw_cqgmax_20140604-0000_13_13_004,2014-06-04 13:00:00,13.00000,13.00000,1.00000,-91.75665,38.63180,5.02345,30.35007,0.00000,7.07837,0.00000,0.00000,47.35180,58.49394,39.16030,4.12044,0.00000,0.00000,6.49590,23.70664,0.52295,5.00909,0.00000,0.00000,17.73747,25.99271,12.04166,3.43516,0.00000,0.00000,-2.72671,-0.66597,-5.51462,0.82854,0.00000,0.00000,874.01741,1447.76086,0.00000,560.11355,0.00000,0.00000,-145.39772,0.00000,-889.67395,237.36628,0.00000,0.00000,482.21640,652.90228,248.24654,96.36809,0.00000,0.00000,263.53031,593.83875,-66.51902,162.56125,0.00000,0.00000,0.00422,0.00673,0.00050,0.00099,0.00000,0.00000,7.17575,9.63847,5.06050,1.03461,0.00000,0.00000,-8.11075,-5.04074,-9.81367,0.97771,0.00000,0.00000,69.73917,72.55812,62.03882,2.91129,0.00000,0.00000,71.72357,75.45082,63.44776,3.00747,0.00000,0.00000,12.73722,14.47434,9.55311,1.25326,0.00000,0.00000,3.66455,4.94504,2.40460,0.46411,0.00000,0.00000,-5.15024,-3.42407,-6.21965,0.74190,0.00000,0.00000,-5.68020,-4.55304,-6.67569,0.40073,0.00000,0.00000,271.00000,0.97814,52.14576,10.84404,-0.32439,0.33457,-3.29937,-6.76792,-11.39989,-11.54510,-23.01760,-14.93045,0.00000,0.00000,0.00000,0.00000,0.00000
wrf-s4m9_arw_cqgmax_20140604-0000_13_13_005_00,wrf-s4m9_arw_cqgmax_20140604-0000_13_13_005,2014-06-04 13:00:00,13.00000,13.00000,1.00000,-91.37867,39.31252,2.12072,9.75821,0.00000,3.35096,0.00000,0.00000,44.31940,56.02235,39.18139,3.96052,0.00000,0.00000,2.99321,8.33190,0.86419,1.80297,0.00000,0.00000,16.49596,21.89555,12.29349,2.56584,0.00000,0.00000,-2.71960,-1.21691,-4.34721,0.86000,0.00000,0.00000,236.35436,1334.15161,0.00000,343.05313,0.00000,0.00000,-380.98115,-0.04948,-954.06677,374.83924,0.00000,0.00000,533.56946,730.39844,392.62723,106.59010,0.00000,0.00000,210.98951,1144.73694,-270.89728,343.44828,0.00000,0.00000,0.00320,0.00545,0.00072,0.00129,0.00000,0.00000,6.47869,8.31393,4.57026,0.83902,0.00000,0.00000,-7.26125,-5.81926,-8.97287,0.70362,0.00000,0.00000,68.30672,71.12885,63.53768,2.67516,0.00000,0.00000,70.64929,73.07970,66.59710,1.70802,0.00000,0.00000,9.39762,13.25507,6.63060,2.21626,0.00000,0.00000,4.05609,4.69888,3.52358,0.28275,0.00000,0.00000,-5.26311,-3.94608,-6.04132,0.54433,0.00000,0.00000,-5.10475,-4.32019,-6.17386,0.40424,0.00000,0.00000,54.00000,0.69991,9.83493,7.02445,0.54948,0.75000,-4.66661,-11.59021,-18.28837,-20.66133,-40.41423,-26.57853,-40.56218,0.00000,0.00000,0.00000,0.00000
wrf-s4m9_arw_cqgmax_20140604-0000_18_20_006_00,wrf-s4m9_arw_cqgmax_20140604-0000_18_20_006,2014-06-04 18:00:00,18.00000,18.00000,1.00000,-86.10885,39.78055,50.68936,177.14932,0.12981,46.94195,0.00000,0.00000,50.15283,61.03173,37.81498,5.38122,0.00000,0.00000,11.15391,25.06610,1.05078,7.32073,0.00000,0.00000,19.79892,26.56056,12.07567,4.42224,0.00000,0.00000,-3.11471,-0.73281,-5.17253,0.93640,0.00000,0.00000,1633.41268,2164.08154,1087.78198,273.35123,0.00000,0.00000,-2.79438,-0.12391,-15.21886,2.66815,0.00000,0.00000,509.30101,673.94067,406.48514,65.21314,0.00000,0.00000,311.38702,454.85318,230.38445,44.76926,0.00000,0.00000,0.00351,0.00455,0.00208,0.00061,0.00000,0.00000,5.62884,7.80707,4.47649,0.78147,0.00000,0.00000,-7.69897,-5.99963,-8.75631,0.66853,0.00000,0.00000,72.34353,74.59087,70.22671,0.91003,0.00000,0.00000,75.11336,79.98235,71.30925,2.20356,0.00000,0.00000,12.60125,14.58057,10.43118,0.94685,0.00000,0.00000,3.96142,4.30553,3.63908,0.18174,0.00000,0.00000,-6.47225,-5.38177,-7.60758,0.53783,0.00000,0.00000,-4.96350,-4.22509,-6.12549,0.44170,0.00000,0.00000,62.00000,0.98544,23.97436,4.07657,0.13006,0.51667,-3.49493,-7.09089,-13.07425,-13.35974,-26.57844,-16.97545,-29.41561,0.00000,0.00000,0.00000,0.00000
wrf-s4m9_arw_cqgmax_20140604-0000_18_20_006_01,wrf-s4m9_arw_cqgmax_20140604-0000_18_20_006,2014-06-04 19:00:00,19.00000,19.00000,2.00000,-85.90073,39.79704,28.54398,82.61429,0.00000,20.25586,-22.14538,-94.53503,49.55614,59.38407,40.11001,5.48327,-0.59668,-1.64766,9.48736,20.01179,1.43679,4.89798,-1.66655,-5.05431,19.18382,25.17327,13.17190,2.69444,-0.61511,-1.38730,-2.98125,-1.09968,-6.51168,1.09177,0.13345,-0.36687,925.92498,1665.38684,60.30781,409.67885,-707.48770,-498.69470,-10.11089,-0.61469,-96.03888,14.95538,-7.31651,-0.49077,521.54155,688.58148,354.03677,76.40047,12.24053,14.64081,501.33318,1328.43335,261.51947,196.87028,189.94616,873.58017,0.00420,0.00780,0.00259,0.00088,0.00069,0.00325,6.43266,9.34811,4.46186,0.96036,0.80382,1.54105,-6.33579,-4.71524,-7.39420,0.58745,1.36318,1.28440,71.54330,73.83099,68.24159,1.27883,-0.80023,-0.75987,73.59634,76.98248,70.71626,1.44112,-1.51702,-2.99987,11.84602,14.54641,8.81051,1.30969,-0.75524,-0.03416,4.34817,5.13090,2.97191,0.32142,0.38675,0.82537,-5.89305,-4.85134,-6.89330,0.44111,0.57920,0.53044,-4.73442,-3.87397,-5.73539,0.38719,0.22907,0.35112,115.00000,0.92929,20.87722,7.71124,0.08465,0.68452,-4.24791,-9.00034,-14.76338,-16.82118,-33.14743,-22.42149,0.00000,0.00000,0.00000,0.00000,0.00000
wrf-s4m9_arw_cqgmax_20140604-0000_18_20_006_02,wrf-s4m9_arw_cqgmax_20140604-0000_18_20_006,2014-06-04 20:00:00,20.00000,20.00000,3.00000,-85.08722,39.59474,39.96442,193.50568,0.00000,49.28669,11.42044,110.89139,49.18450,60.30204,42.88360,4.15993,-0.37164,0.91797,8.84244,25.33953,1.36763,6.06579,-0.64492,5.32774,22.83939,28.36320,15.15496,3.36282,3.65557,3.18994,-2.77679,-0.94860,-5.43724,1.06904,0.20447,0.15108,656.02757,1482.64001,64.12984,417.37925,-269.89741,-182.74683,-18.38899,-0.77526,-104.03027,22.43480,-8.27810,-0.16058,484.32649,619.82404,367.53906,55.50417,-37.21506,-68.75745,520.91675,914.35992,268.68765,148.19162,19.58357,-414.07343,0.00496,0.00656,0.00276,0.00114,0.00076,-0.00124,7.08060,8.67717,5.39654,0.65317,0.64794,-0.67095,-6.52808,-5.02807,-7.65937,0.54976,-0.19229,-0.31283,70.50140,73.11546,68.56673,0.98345,-1.04190,-0.71554,71.66041,74.60405,70.28664,1.04032,-1.93593,-2.37843,11.36719,13.89422,8.71112,1.30021,-0.47883,-0.65219,4.01894,4.62769,2.51420,0.41771,-0.32923,-0.50321,-5.35498,-4.90605,-5.90953,0.21087,0.53807,-0.05471,-5.03489,-4.51453,-5.72287,0.26611,-0.30047,-0.64057,112.00000,0.93175,19.83431,7.20168,0.04987,0.80000,-4.55185,-9.64720,-16.97547,-17.19971,-34.29007,-22.02401,-36.88721,0.00000,0.00000,0.00000,0.00000
